imdb,rating,title,imdb,runtime,year,genres,director
tt0108052,5,Schindler's List,https://www.imdb.com/title/tt0108052/,195,1993,"Biography, Drama, History",Steven Spielberg
tt0086197,4,The Right Stuff,https://www.imdb.com/title/tt0086197/,193,1983,"Adventure, Biography, Drama, History",Philip Kaufman
tt0120689,4,The Green Mile,https://www.imdb.com/title/tt0120689/,189,1999,"Crime, Drama, Fantasy, Mystery",Frank Darabont
tt0175880,4,Magnolia,https://www.imdb.com/title/tt0175880/,188,1999,Drama,Paul Thomas Anderson
tt0993846,5,The Wolf of Wall Street,https://www.imdb.com/title/tt0993846/,180,2013,"Biography, Crime, Drama",Martin Scorsese
tt2278871,4,La vie d'Adele,https://www.imdb.com/title/tt2278871/,180,2013,"Drama, Romance",Abdellatif Kechiche
tt0120863,5,The Thin Red Line,https://www.imdb.com/title/tt0120863/,170,1998,"Drama, War",Terrence Malick
tt0113277,4,Heat,https://www.imdb.com/title/tt0113277/,170,1995,"Crime, Drama, Thriller",Michael Mann
tt0086250,4,Scarface,https://www.imdb.com/title/tt0086250/,170,1983,"Crime, Drama",Brian De Palma
tt0816692,4,Interstellar,https://www.imdb.com/title/tt0816692/,169,2014,"Adventure, Drama, Sci-Fi, Thriller",Christopher Nolan
tt1663202,5,The Revenant,https://www.imdb.com/title/tt1663202/,156,2015,"Action, Adventure, Drama, History, Western",Alejandro G. Innrritu
tt5215952,4,Gokseong,https://www.imdb.com/title/tt5215952/,156,2016,"Horror, Mystery, Thriller",Hong-jin Na
tt0118749,5,Boogie Nights,https://www.imdb.com/title/tt0118749/,155,1997,Drama,Paul Thomas Anderson
tt0095765,4,Nuovo Cinema Paradiso,https://www.imdb.com/title/tt0095765/,155,1988,Drama,Giuseppe Tornatore
tt0110912,5,Pulp Fiction,https://www.imdb.com/title/tt0110912/,154,1994,"Crime, Drama",Quentin Tarantino
tt0325710,4,The Last Samurai,https://www.imdb.com/title/tt0325710/,154,2003,"Action, Drama",Edward Zwick
tt0044741,5,Ikiru,https://www.imdb.com/title/tt0044741/,143,1952,Drama,Akira Kurosawa
tt1074638,4,Skyfall,https://www.imdb.com/title/tt1074638/,143,2012,"Action, Adventure, Thriller",Sam Mendes
tt0111161,5,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/,142,1994,Drama,Frank Darabont
tt0109830,4,Forrest Gump,https://www.imdb.com/title/tt0109830/,142,1994,"Drama, Romance",Robert Zemeckis
tt0485947,4,Mr. Nobody,https://www.imdb.com/title/tt0485947/,141,2009,"Drama, Fantasy, Romance, Sci-Fi",Jaco Van Dormael
tt0824747,4,Changeling,https://www.imdb.com/title/tt0824747/,141,2008,"Biography, Crime, Drama, History, Mystery, Thriller",Clint Eastwood
tt1817273,4,The Place Beyond the Pines,https://www.imdb.com/title/tt1817273/,140,2012,"Crime, Drama, Thriller",Derek Cianfrance
tt0405094,4,Das Leben der Anderen,https://www.imdb.com/title/tt0405094/,137,2006,"Drama, Mystery, Thriller",Florian Henckel von Donnersmarck
tt0090605,4,Aliens,https://www.imdb.com/title/tt0090605/,137,1986,"Action, Adventure, Sci-Fi, Thriller",James Cameron
tt0066921,5,A Clockwork Orange,https://www.imdb.com/title/tt0066921/,136,1971,"Crime, Drama, Sci-Fi",Stanley Kubrick
tt0133093,4,The Matrix,https://www.imdb.com/title/tt0133093/,136,1999,"Action, Sci-Fi","Lilly Wachowski, Lana Wachowski"
tt5727208,4,Uncut Gems,https://www.imdb.com/title/tt5727208/,135,2019,"Crime, Drama, Thriller","Josh Safdie, Benny Safdie"
tt6155172,4,Roma,https://www.imdb.com/title/tt6155172/,135,2018,Drama,Alfonso Cuar�n
tt2024544,5,12 Years a Slave,https://www.imdb.com/title/tt2024544/,134,2013,"Biography, Drama, History",Steve McQueen
tt0107943,4,The Remains of the Day,https://www.imdb.com/title/tt0107943/,134,1993,"Drama, Romance",James Ivory
tt0116922,4,Lost Highway,https://www.imdb.com/title/tt0116922/,134,1997,"Mystery, Thriller",David Lynch
tt0119698,4,Mononoke-hime,https://www.imdb.com/title/tt0119698/,134,1997,"Animation, Adventure, Fantasy",Hayao Miyazaki
tt0388795,4,Brokeback Mountain,https://www.imdb.com/title/tt0388795/,134,2005,"Drama, Romance",Ang Lee
tt0056058,5,Seppuku,https://www.imdb.com/title/tt0056058/,133,1962,"Action, Drama, Mystery",Masaki Kobayashi
tt0073486,5,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/,133,1975,Drama,Milos Forman
tt0107207,4,In the Name of the Father,https://www.imdb.com/title/tt0107207/,133,1993,"Biography, Drama",Jim Sheridan
tt1210166,4,Moneyball,https://www.imdb.com/title/tt1210166/,133,2011,"Biography, Drama, Sport",Bennett Miller
tt2547584,4,The Light Between Oceans,https://www.imdb.com/title/tt2547584/,133,2016,"Drama, Romance",Derek Cianfrance
tt0086190,5,Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/,131,1983,"Action, Adventure, Fantasy, Sci-Fi",Richard Marquand
